序号,trackId,标题,时长(秒),时长(小时),日期
104,693340586,"沙特、伊朗和解中几个有趣的点——2023年3月14日直播P3",1728,0.5,
105,697907183,"核存量并非越多越好——2023年3月14日直播P5",1711,0.5,
106,697907184,"纳赛尔式杯酒释兵权——2023年3月15日直播P1",1538,0.4,
107,697907186,"风险管控不能太严 得留出犯错的空间——2023年3月15日直播P2",1167,0.3,
108,697907187,"生化危机4重制试玩版玩后感——2023年3月17日直播P1",2286,0.6,
109,697907188,"AI最快展现突破性飞跃的可能是空战——2023年3月17日直播P2",2073,0.6,
110,697907190,"过去没有哪个国家人口劣势还以此等交换比胜利的——2023年3月17日直播P3",2127,0.6,
111,697907191,"相比英国 美国对地区混乱的容忍度更高——2023年3月17日直播P4",1875,0.5,
112,697907192,"芬兰入北约未必对俄罗斯产生多大威胁——2023年3月18日直播P1",1861,0.5,
113,701765050,"有强大外敌不代表美国不会内战——2023年3月18日直播P2",1379,0.4,
114,701765052,"北约坦克未必比苏式坦克趁手——2023年3月21日直播P1",2134,0.6,
115,701765056,"小圈子抱团导致编剧水平整体下降——2023年3月21日直播P2",2029,0.6,
116,701765061,"闲聊E社世界格局——2023年3月21日直播P3",2043,0.6,
117,701765063,"日本连所谓上限都未曾摸到——2023年3月21日直播P4",2182,0.6,
118,701765067,"不要以为棋盘只会出现在中东和非洲——2023年3月21日直播P5",1969,0.5,
119,701765068,"阿塞拜疆的胃口不止于纳卡地区——2023年3月23日直播P1",2102,0.6,
120,701765071,"选举的演变导致美国的现状——2023年3月23日直播P2",1977,0.5,
121,701765073,"幻想的人间天堂只是空中楼阁——2023年3月23日直播P3",1946,0.5,
122,701765074,"任何研究都会带有主观性——2023年3月25日直播P1",2123,0.6,
123,701765075,"所有战争都会觉得资源不够用——2023年3月25日直播P2",1306,0.4,
124,701765080,"还是天兵不认真——2023年3月27日直播P1",1478,0.4,
125,701765084,"工业化的难处——2023年3月27日直播P2",1374,0.4,
126,701765087,"以色列剧变的现状（上）",1869,0.5,
127,701765092,"以色列剧变的现状（下）",2244,0.6,
128,701765098,"请问这个法案是针对原神的吗？——2023年3月29日直播P1",1950,0.5,
129,701765101,"那么以色列会打起来吗？——2023年3月29日直播P2",1959,0.5,
130,701765105,"品鉴S686法案——2023年3月29日直播节选",1711,0.5,
131,701765107,"帝生万物以养人——2023年3月31日直播P1",1979,0.5,
132,701765108,"在很多国际组织中美国就是讨人厌的形象——2023年3月31日直播P2",1692,0.5,
133,701765109,"未来可能出现更多的瓦格纳——2023年3月31日直播P3",1367,0.4,
134,703400478,"法案可能通过 但是会拖延——2023年4月1日直播P1",2021,0.6,
135,703400480,"再下去要援助现役装备了——2023年4月1日直播P3",1844,0.5,
136,703400481,"究竟哪方更不经拖——2023年4月1日直播P4",1802,0.5,
137,703400482,"混沌矮人小火车——2023年4月4日直播P1",1853,0.5,
138,703400483,"整个艾拉瑞丽事件最大受害者是泰瑞昂",2139,0.6,
139,703400484,"可能当初夸大了 但现在成真了——2023年4月4日直播P3",2202,0.6,
140,703400490,"乌克兰现在属于苏系还是北约系——2023年4月4日直播P4",2092,0.6,
141,703400589,"没有人受伤的世界——2023年4月4日直播P5",1924,0.5,
142,703400723,"色厉内荏 干大事而惜身——2023年4月5日直播P1",1472,0.4,
143,703401114,"战术核武器实际并不好用——2023年4月5日直播P2",1875,0.5,
144,703401238,"口惠而实不至——2023年4月5日直播P3",1609,0.4,
145,703401268,"与红色幻想乡开幕闲聊——2023年4月7日直播P1",978,0.3,
146,703401333,"关于特朗普被起诉的个人看法——2023年4月7日直播P2",1694,0.5,
147,703401396,"与红色幻想乡畅聊俄乌——2023年4月7日直播P3",2167,0.6,
148,703401437,"转场闲聊 顺带聊小马——2023年4月7日直播P4",1077,0.3,
149,703401499,"与 红色幻想乡B号机形态 畅聊以色列现状（上）",1291,0.4,
150,703401545,"与红色幻想乡B号机形态 畅聊以色列现状（下）",1621,0.5,
151,703401583,"与红色幻想乡闲聊沙特——2023年4月7日直播P7",1251,0.3,
152,703401647,"冯德莱恩一家本质是美国人——2023年4月7日直播P8",1365,0.4,
153,703401690,"最后总结 守护最好的比比——2023年4月7日直播P9",1057,0.3,
154,709878573,"阿斯塔特碰到步战车该挂也得挂——2023年4月8日直播P1",1536,0.4,
155,709878575,"中法关系至少没糟到中美那个程度——2023年4月8日直播P2",1364,0.4,
156,709878576,"泄露的如果是假消息未免对己方太不利了——2023年4月14日直播P1",2192,0.6,
157,709878577,"帕希尼扬 一将无能累死三军——2023年4月14日直播P2",2013,0.6,
158,709878578,"望之不似人君——2023年4月14日直播P3",1536,0.4,
159,709878579,"为何俄罗斯不可能加拿大化——2023年4月16日直播P1",1824,0.5,
160,709878582,"那你怎么不去共情老保啊——2023年4月16日直播P2",2053,0.6,
161,709878586,"印度想要替代产业链还很难——2023年4月16日直播P3",1906,0.5,
162,709878587,"翻研究所垃圾桶——2023年4月16日直播P4",1619,0.4,
163,709879161,"俄乌双方都大量使用巡飞弹——2023年4月18日直播P1",2110,0.6,
164,709879725,"我推的耗子——2023年4月18日直播P2",1939,0.5,
165,709880555,"卖地图的该乐疯了——2023年4月18日直播P3",2153,0.6,
166,709881027,"失败的核心是自身 而非美国的介入——2023年4月22日直播P2",2078,0.6,
167,709881415,"品鉴普里戈津的雄文——2023年4月22日直播P3",2066,0.6,
168,709881741,"魔法对轰没用 应该干碎用魔法的——2023年4月22日直播P4",1898,0.5,
169,709882177,"未来要求军队拥有更多复合能力——2023年4月25日直播P1",2151,0.6,
170,709882569,"现阶段最大的阵营划分 维持还是改变现状——2023年4月25日直播P2",1821,0.5,
171,709883141,"将官前出侦查是个好办法——2023年4月25日直播P3",1918,0.5,
172,717481653,"不光抖音 所有中资软件在美国或成“待宰羔羊”：解读7521法案",1564,0.4,
173,709883669,"差不多该恢复中东战争史更新了——2023年4月28日P1",1992,0.6,
174,717481658,"美国人觉得你是中国人：7521法案答疑部分",1752,0.5,
175,709884308,"由于西方的弱智操作使得开战成为合理的选项——2023年4月28日P2",2033,0.6,
176,709891983,"“小打小闹”在以后的战争中会越发常见——2023年4月30日直播P1",2189,0.6,
177,709903864,"战争的道德是什么——2023年4月30日直播P2",1866,0.5,
178,709911464,"提高战场生存率的最重要因素是射程——2023年4月30日直播P3",1818,0.5,
179,709918063,"联合国最大的意义是舆论的具象化——2023年4月30日直播P4",1805,0.5,
180,709923913,"第六次中东战争 是也不是——2023年4月30日直播P5",1724,0.5,
181,717491571,"普里戈金痛斥俄军方高层——2023年5月5日直播P1",1682,0.5,
182,717491576,"米利退休谁接班——2023年5月5日直播P2",1722,0.5,
183,717491585,"乌克兰继续冲对俄罗斯有利——2023年5月5日直播P3",1688,0.5,
184,717491601,"这是什么神论——2023年5月5日直播P5",1392,0.4,
185,717491603,"普里戈金的抱怨是真是假——2023年5月7日直播P1",1829,0.5,
186,717491609,"提高债务上限延迟违约——2023年5月7日直播P2",1896,0.5,
187,717491613,"聊聊这次方舟的哥伦比亚——2023年5月10日直播P1",2053,0.6,
188,717491617,"如何看待此次PIJ对以色列的攻击——2023年5月10日直播P2",2195,0.6,
189,717491627,"巴基斯坦近期的动荡——2023年5月10日直播P4",1939,0.5,
190,717491630,"以色列唯一的政坛常青树——2023年5月10日直播P5",1776,0.5,
191,717491641,"此时恰如彼时 加沙 亚阿 和俄乌——2023年5月11日直播P1",2165,0.6,
192,717491645,"美国如果是个帝国反而会正常很多——2023年5月11日直播P2",1803,0.5,
193,717491649,"这次加沙冲突不会是最后一次——2023年5月11日直播P3",1766,0.5,
194,717492196,"俄罗斯空天军遭受重大损失——2022年5月13日直播P1",1816,0.5,
195,717493096,"俄罗斯是可以拖的——2022年5月13日直播P2",1813,0.5,
196,717493883,"未来军民科技的界限越来越小——2023年5月16日直播P1",2181,0.6,
197,717494576,"此次之后内塔尼亚胡的前途岌岌可危——2023年5月16日直播P2",1845,0.5,
198,717495392,"韩国民间对日本到底什么态度——2023年5月16日直播P3",1945,0.5,
199,717495975,"消化乌克兰可能需要二十至三十年——2023年5月17日直播P1",2057,0.6,
200,717496652,"以色列人口膨胀的原因——2023年5月17日直播P2",2043,0.6,
201,717497262,"瓦格纳的突击分队是怎么回事——2023年5月17日直播P3",1887,0.5,
202,717497864,"兵贵精不贵多——2023年5月17日直播P4",1788,0.5,
203,717498279,"巴基斯坦最近的动荡——2023年5月19日直播P1",2022,0.6,
204,717498721,"打了一年 欧洲兵工厂赚了吗——2023年5月19日直播P3",1942,0.5,
205,717499216,"法国的农业模式跟日本有一拼——2023年5月19日直播P4",1740,0.5,
206,717500079,"我要把精力放在视频制作上——2023年5月23日直播P1",2222,0.6,
207,717500965,"因为强大 所以包容 而不是反过来——2023年5月23日直播P2",2113,0.6,
208,717504255,"情感电台回——2023年5月23日直播P3",2227,0.6,
209,717504874,"保证他人繁荣才能保证自己繁荣——2023年5月23日直播P4",1960,0.5,
210,717505532,"北约现在援乌已经没有任何规划了——2023年5月23日直播P5",2172,0.6,
211,717506174,"如果引爆所有核弹会怎样——2023年5月23日直播P6",2511,0.7,
212,717506617,"偷袭别尔格罗德从战略上来说毫无意义——2023年5月24日直播P1",1858,0.5,
213,717506906,"在德的土耳其人为何那么拥护土耳其——2023年5月24日直播P2",1573,0.4,
214,717507267,"现代战争像美国打印第安人——2023年5月24日直播P3",1575,0.4,
215,717507633,"乌克兰如果进行大规模渗透会攻击哪里——2023年5月24日直播P4",1890,0.5,
216,719122964,"反攻将在一周之内开始——2023年5月27日直播P1",2012,0.6,
217,719122965,"认知作战什么也带来不了——2023年5月27日直播P3",1650,0.5,
218,719122966,"相比他们我没什么特殊的——2023年5月27日直播P5",1641,0.5,
219,719122969,"读《基辛格百岁采访》——2023年5月27日直播节选",1545,0.4,
220,719123436,"灵魂作画解释防空——2023年5月30日直播P1",2166,0.6,
221,719124007,"这个布鲁图斯能干碎凯撒吗——2023年5月30日直播P2",1944,0.5,
222,719124680,"乌克兰如果反攻应该从哪些方向——2023年5月30日直播P3",1866,0.5,
223,719125356,"巴基斯坦区域可能成为新的炸点——2023年5月30日直播P4",2067,0.6,
224,719125995,"所谓的自由战士心理其实很脆弱——2023年5月30日直播P5",2174,0.6,
225,719126919,"LGBT话题不是用来掩盖矛盾的——2023年5月30日直播P6",1967,0.5,
226,719127457,"未来可能不存在明确的胜利——2023年5月30日直播P7",1712,0.5,
227,719127901,"阿富汗的现状依旧严峻——2023年5月31日直播P1",1793,0.5,
228,719128496,"乌克兰本次大反攻会在哪个方向——2023年5月31日直播P2",1867,0.5,
229,719128910,"俾路支地区的复杂局势——2023年5月31日直播P3",1715,0.5,
230,719129051,"关于巴赫穆特反攻的总结——2023年5月30日直播节选",918,0.3,
231,725183832,"对手犯错时最好就是坐看他发癫——2023年6月3日直播P1",1604,0.4,
232,725183833,"以色列为什么不能舍弃哈瑞迪人——2023年6月3日直播P2",1809,0.5,
233,725183835,"俄军可能还希望乌军进攻本土——2023年6月3日直播P3",1872,0.5,
234,725183838,"最后发现和俄国对抗不如通俄——2023年6月3日直播P4",1769,0.5,
235,725183841,"不控制当地 直到当地来求我——2023年6月3日直播P5",1765,0.5,
236,725184239,"建议引进乌克兰人教德国人打螺丝——2023年6月3日直播P6",1709,0.5,
237,725184655,"认知作战最有效是僵持的时候——2023年6月5日直播P1",2227,0.6,
238,725185810,"只要不产生二氧化碳就算环保——2023年6月5日直播P2",2157,0.6,
239,725186292,"可能北约老士官有4+特保吧——2023年6月5日直播P5",1882,0.5,
240,725186798,"美国国家战略被外国操纵——2023年6月5日直播P6",1636,0.5,
241,725188254,"乌军反攻要来啦 害怕——2023年6月6日直播P1",1689,0.5,
242,725190152,"通胀高往钞票上多加个零不就行了——2023年6月6日直播P2",1666,0.5,
243,725190912,"荣誉感和物质奖励 不可偏废——2023年6月6日直播P3",1653,0.5,
244,725191863,"急急急 输输输 要灭了——2023年6月7日直播P1",2133,0.6,
245,725192895,"普鲁士总参谋部的真正继承人——2023年6月7日直播P2",2037,0.6,
246,725193518,"人海竟是我自己——2023年6月7日直播P3",1953,0.5,
247,725194245,"包抄达成的前提——2023年6月9日直播P1",1982,0.6,
248,725195005,"如果反攻彻底失败会怎样——2023年6月9日直播P2",2068,0.6,
249,725195777,"有人认为乌克兰这仗可以振兴美国军工——2023年6月9日直播P3",2049,0.6,
250,725196362,"乌军进攻失败的问题在哪——2023年6月10日直播P1",1631,0.5,
251,725196924,"正常国家比不过纳粹的人力？——2023年6月10日直播P2",1715,0.5,
252,726662165,"俄罗斯的思路就是尽量放血——2023年6月13日直播P1",1961,0.5,
253,726662168,"当前版本迷惑大众太容易——2023年6月13日直播P2",2021,0.6,
254,726662170,"想做好公关建议学习CIA历史——2023年6月13日直播P3",1886,0.5,
255,726662173,"未来媒体界会不会成为新的伊德利卜——2023年6月13日直播P4",1999,0.6,
256,726662175,"持久的关键是差不多得了——2023年6月13日直播P5",1816,0.5,
257,726662178,"1999 启动——2023年6月13日直播P6",1827,0.5,
258,726662181,"1999 再启动——2023年6月13日直播P7",1658,0.5,
259,726662185,"近期乌克兰反攻的情况——2023年6月13日直播节选",842,0.2,
260,726662188,"1999启动前的闲聊——2023年6月15日直播",1571,0.4,
261,726662193,"东边打不动 还是向西方突击吧——2023年6月18日直播P1",1764,0.5,
262,726662306,"明确是有势力引导的——2023年6月18日直播P2",1840,0.5,
263,726662627,"如何评价布林肯——2023年6月18日直播P3",1718,0.5,
264,726662864,"同步视听《边境杀手》（一）——2023年6月18日节选1",1790,0.5,
265,726663117,"同步视听《边境杀手》（二）——2023年6月18日节选2",1911,0.5,
266,726663252,"同步视听《边境杀手》（三）——2023年6月18日节选3",1670,0.5,
267,726663389,"同步视听《边境杀手》（四）——2023年6月18日节选4",1797,0.5,
268,726663566,"同步视听《边境杀手》（五）——2023年6月18日节选5",1616,0.4,
269,728811158,"俄罗斯战略上溃败了？——2023年6月19日直播P1",1800,0.5,
270,728811162,"今天的日本对标的是幕府末年——2023年6月19日直播P2",2282,0.6,
271,728811163,"自由主义的最终解释权归西方所有——2023年6月19日直播P3",2455,0.7,
272,728811167,"皇俄的底层逻辑是衰落前打个大的——2023年6月22日直播P1",2133,0.6,
273,728811170,"LGBT的影响可能会持续很久——2023年6月22日直播P2",1832,0.5,
274,728811174,"苏莱曼尼相当于什么地位——2023年6月22日直播P3",1870,0.5,
275,728811176,"普里戈津并非唱双簧——2023年6月25日直播P1",1932,0.5,
276,728811178,"普里戈津核心问题是得罪国防部——2023年6月25日直播P2",1476,0.4,
277,728811181,"罗斯托夫清洁工——2023年6月25日直播P3",1668,0.5,
278,728811182,"普里戈金之乱复盘——2023年6月25日直播节选",1904,0.5,
279,728811184,"6月5日普里戈金访谈P1——2023年6月25日直播节选",1780,0.5,
280,728811973,"6月5日普里戈金访谈P2——2023年6月25日直播节选",1807,0.5,
281,728812851,"6月5日普里戈金访谈P3——2023年6月25日直播节选",1814,0.5,
282,728813494,"6月5日普里戈金访谈P4——2023年6月25日直播节选",1789,0.5,
283,728814188,"6月5日普里戈金访谈P5——2023年6月25日直播节选",1800,0.5,
284,728814542,"6月5日普里戈金访谈P6——2023年6月25日直播节选",975,0.3,
285,728814993,"俄罗斯权柄集中吗？——2023年6月27日直播P1",1703,0.5,
286,728815545,"伊拉克失败的核心是美国缺乏决心——2023年6月27日直播P2",1851,0.5,
287,728816059,"从战役层面讲乌军冲南线更合理——2023年6月28日直播P1",1818,0.5,
288,728816562,"德国图片报采访欧尔班——2023年6月30日直播P1",1905,0.5,
289,728817257,"给主播打钱可以看几个月电子榨菜——2023年6月30日直播P3",1769,0.5,
290,728817642,"法国的问题非一日之寒——2023年6月30日直播P4",1691,0.5,
291,728818026,"欺骗AI识别并不难——2023年6月30日直播P5",1692,0.5,
292,728818143,"近期乌克兰反攻的情况——2023年6月13日直播节选",828,0.2,
293,732106888,"聊聊近期法国的骚乱—2023年7月2日直播P1",1733,0.5,
294,732106891,"过去20年并非和平安稳—2023年7月2日直播P2",1877,0.5,
295,732106894,"忠诚和信仰给人以心理锚点—2023年7月2日直播P3",1616,0.4,
296,732106897,"法国的骚乱会蔓延到其他国家—2023年7月2日直播P5",1371,0.4,
297,732106900,"不寻求改变和正在改变 并不矛盾—2023年7月2日直播P6",1314,0.4,
298,732106902,"法国人出重拳说明他们是坏不是蠢——2023年7月4日直播P1",2060,0.6,
299,732106903,"战时打得越狠 战后越平静——2023年7月4日直播P2",2224,0.6,
300,732106906,"在核武器部门有更多LGBT是好事？——2023年7月4日直播P3",2013,0.6,
301,732106907,"美国应该专注全球霸权而放弃区域霸权——2023年7月4日直播P4",2172,0.6,
302,732106910,"法国的问题恰恰是养老金发太多了——2023年7月4日直播P5",1820,0.5,
303,732106913,"在面对尖锐矛盾时妥协不会有好结果——2023年7月4日直播P6",1705,0.5,
304,732106915,"你怎么用UBI并不在考虑范围内——2023年7月4日直播P7",1495,0.4,
305,732106916,"是韩国路线还是日本路线？——2023年7月6日直播P1",2188,0.6,
306,732106919,"六等分的普里戈津——2023年7月6日直播P2",1819,0.5,
307,732106922,"关于反舰武器——2023年7月6日直播P3",2117,0.6,
308,732106925,"越南战争的启示 当榜一不当榜二——2023年7月6日直播P4",2167,0.6,
309,732106930,"关于阿富汗的误判——2023年7月6日直播P5",2650,0.7,
310,732106933,"现代海战经验丰富的国家有哪些——2023年7月8日直播",2043,0.6,
